text,id,score,topic_id
sudah done thanks,488,0.30597672195744957,12
terpenting one stop financial solution platform berizin diawasi ojk menghadirkan beragam kebutuhan finansial,1347,0.2995014899496477,12
halo min tny koin penfaftar br kosong ya mohon cek dm ya,1855,0.29589270873567225,12
fyi one stop financial solution platform berizin diawasi ojk menghadirkan beragam kebutuhan finansial,1264,0.2943762497104947,12
tolong respon dm sudah infonya,1128,0.29007876528857274,12
beli rumah mobil ya pertimbangannya blog beli rumah mobil ... via,846,0.2880507578236055,12
kabar suami nih biar istri sayang bunga gede deposito yxfntwzbtq,1321,0.2856903248084452,12
platform one stop financial solutions indonesia besutan via laptophia laptophia platform one stop financial solutions html ...,1514,0.2779379559874192,12
udah dm ya min,1661,0.2699641031594669,12
to tolong dm masak an gak direspon skali ylki id ojkindonesia,1160,0.26958878555986127,12
investasi bs pendana bunga gede deposito uang dianggurin,1335,0.26891277362885757,12
ojkindonesia selamat malam kak bantuan aplikasi terdaftar ojk,566,0.26837928442534986,12
baca dm min,656,0.2679545333552141,12
hai min akun instagramnya b0o5vdj0bg,668,0.26783885168211735,12
min check your dm,861,0.26783801289262144,12
tolong keluhan dm dibaca ditanggapi udah berjamur dianggurin 10hari,667,0.26783690844790525,12
okeesip makasih infonya min,1967,0.26782973075456695,12
sudah dm senin pls check,1557,0.26781250457832384,12
please check dm response thanks,3,0.26779093796893727,12
min suka crash ya,1752,0.26775586056214695,12
release aplikasi benernya ya bos iya kejadian,1082,0.2677044510709631,12
works thanks ya,1707,0.26770366084851377,12
podo zah rak kuat nek kon ndekem neng omah ya allah cepat jalan,752,0.2676962196328546,12
karna persen bunga bunga tahunan cuman sekian persen pengen cepat kaya doank pelajari,838,0.2618917164930104,12
ngga informasi aplikasi ga transparan ga ada info calon peminjamnya ga ada info tanggal pinjaman ga ada info pembayaran peminjam telat suku bunga bisa berubah tiba2 potongan komisi ga konsisten dll,427,0.7851549679636526,11
ada nih bisa akses via website aplikasi aplikasi ios error coba login ga bisa2 aplikasi android bisa tiba2 hang tolong diperbaiki benar2 ga nyaman,1809,0.7557816590712401,11
tlg dibantu uang blm masuk account cash kronologi sbb feb top up account cash feb email support krn ga reflect account feb dijwb support sudah cek rekening berkala feb sampe skrg tdk ada masuk,1013,0.7460933701707749,11
gimana gaes npl refinancing nih pinjeman hendri khaetami si orang bogor dibayar doang kabur gue udh pasrah nunggu duitnya lumayan bisa gue puterin hiks d3qoayzee7,229,0.7440905410304482,11
pengalaman pribadi sbg pendana dr ga pengen nerusin gegara ada case peminjam ngubah tenor ga ada notif ya udah ga ada opsi duit nyangkut smp 24bln dg resiko dr 3bln tiba2 brubah 24bln,9,0.7278881602962057,11
aplikasi playstore semoga diperbaiki serius aplikasinya biar ga ada bug jengah bet pinjaman udah jatuh tempo dikembalikan ada kejelasan ebyerdghyv,420,0.7132727140242627,11
portfolio gw berkurang signifikan tiba2 kayaknya ada aneh i sent e mail to costumer center tolong balas jg diperbaiki kejelasan ngecek,1145,0.7072431307304573,11
woooi duit dikemanain investasi koinrobo sudah diterima aktivitas tercatat portfolio sudah hilang dashboard ngga ada penambahan dana lapor via email telepon ga ada memuaskan balikin duit investor,1465,0.7062106596283452,11
halo min ga nemuin aplikasinya playstore ya ada ya min install ulang ja6aqexzx2,423,0.6961700897552591,11
mohon info dana jadwal pembayaran maret ada saldo ya telat bayar ya,654,0.6961304870206252,11
portofolio bisa berkurang tiba2 kemarin sy buka normal tp koq berkurang duitnya hilang kemana,1164,0.6901022631855903,11
mohon bantuannya coba email ada balasan tanggal maret pendanaan tiba2 pendanaan berubah mohon bantuannya exshiufitk,442,0.689338886616216,11
ada respon bisa memasukkan kode voucher layar blank dashboard bug nih aplikasinya coba simulasi kalo via web ditunggu respon,1054,0.6891705636761739,11
ada statusnya dibayar april mei ada pembayaran bisa dibantu ya,484,0.6760992034935893,11
dear ngasi tau kalo tampilan enak diliat ribet gak bisa liat arus kas masuk dgn nyaman,902,0.6760091005986505,11
bacot lu gede ane kasih pinjaman loan grade a3 jatuh tempo oct sampe gak boro2 untung modal ane ilang,715,0.675635439232255,11
