,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
0,2020-08-12,eventjakartacom,Event Jakarta,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/qCBI37JTsK",['http://bit.ly/SHE83S'],0,0,[],7e6f5873-82d4-426a-a50b-e02a37990313
1,2020-08-07,lawancovid19_id,#AdaptasiKebiasaanBaru Lawan COVID-19,Follow sekarang! Dapatkan informasi terkini tentang COVID-19 di Indonesia. Bisa mengubungi tim Gugus Tugas Penanganan COVID-19 juga apabila kamu ingin berkonsultasi. Follow sekarang di:   https://twitter.com/lawancovid19_id  pic.twitter.com/naFWym8rB4,['https://twitter.com/lawancovid19_id'],11,571,[],ed608ab2-6e4b-4f00-8cf7-30b7c10bd173
2,2020-08-12,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],be9ac4f6-7107-4624-abe5-1f21f6355eb7
3,2020-08-12,mayasoekandar,Maya Soekandar,"Click to watch video
  https://youtu.be/D1N34eRVkqM  
 Download and *Use my code MS26024 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/97f1cf22 
KoinWorks is *registered and supervised by OJK* Indonesia Financial Service Authority","['https://youtu.be/D1N34eRVkqM', 'https://koinworks.onelink.me/LgVI/97f1cf22']",0,0,[],dd377ad5-77bb-4219-ac96-061223f97a8f
4,2020-08-12,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],0127893f-d7f3-41e3-b551-6618573ba779
5,2020-08-12,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,1,[],cda4ac68-2596-4315-887d-2f16f03e0378
6,2020-08-11,bayubask,Bayu Baskoro,@koinworks please check dm & response...thanks,[],0,0,[],564faa56-8998-482e-b29e-f4272978f0fa
7,2020-08-11,arumst,Arum,"Case itu terjadi thn lalu min, sblm pandemi. Awalnya saya mendanai krn tenor hny 3 bln. Ketika proses peminjaman dah jalan, cek di portfolio, kaget, tenor dah berubah jd 24 bln. Tanpa ada info dan opsi pembatalan. Resiko sepenuhnya ada di pendana.",[],0,0,[],838bd0c1-c551-40b8-b646-82240d57c8af
8,2020-08-11,koinworks,KoinWorks,"Investasinya bisa disesuaikan dengan kebutuhan kamu ya, Andi. MiKo doakan kamu bisa cuan terus bersama kami 🤞",[],0,0,[],07292a41-6bbd-4431-a31c-ba280745bcc1
9,2020-08-11,koinworks,KoinWorks,"Halo, Arum! Relaksasi pada pinjaman memang biasanya dilakukan jika dari pihak peminjam masih kooperatif ketika ditagihkan, namun terkendala pada nominal kewajibannya. Kamu bisa merujuk halaman berikut yaa https://koinworks.com/blog/koinworks-covid19/ …",['https://koinworks.com/blog/koinworks-covid19/'],0,0,[],91d86d61-bb3a-4305-bc0c-d2fb509a220d
10,2020-08-11,idntimes,IDN Times,"Mulai dari Bibit, Bareksa, Tanamduit, hingga KoinWorks, yuk, mulai investasi! #IDNTImesTech https://www.idntimes.com/tech/trend/izza-namira-1/daftar-aplikasi-investasi-terbaik-untuk-pemula?utm_source=twitter&utm_medium=auto&utm_campaign=auto …",['https://www.idntimes.com/tech/trend/izza-namira-1/daftar-aplikasi-investasi-terbaik-untuk-pemula?utm_source=twitter&utm_medium=auto&utm_campaign=auto'],0,1,['#idntimestech'],93dbb9c2-2de7-4e0a-8d12-92b0ae737d78
11,2020-08-11,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],e5d517fb-3c31-4a50-8b04-be595823b41a
12,2020-08-11,quratengil,Endah Uktolseja,Buat yang mau beli emas... Gue sih prefer KoinWorks ya kalo investasi sekarang ini.. Ga kebanyakan fitur jadi sejauh ini masih smooth  https://twitter.com/teknogav/status/1293002391768281089 …,['https://twitter.com/teknogav/status/1293002391768281089'],0,0,[],bdb7f63c-2763-4f68-9ccd-f5f2ec66674c
13,2020-08-11,eventjakartacom,Event Jakarta,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/2OgT5WL7sf",['http://bit.ly/SHE83S'],0,1,[],27fb0d04-b47b-4f2f-b3dd-6e39a7aee2d1
14,2020-08-11,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],9dbf0410-8dfa-43a4-b7b9-a579e226a19d
15,2020-08-11,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],bf939ab2-98be-48fb-8ec0-ee8c7308d752
16,2020-08-11,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],66a60f43-47e9-4475-a485-ffdbf016d1dc
17,2020-08-10,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],ad44a581-3d97-4f6b-8247-e35674f74b12
